Student [id=4, name=Diana, age=24, gender=MALE, className=CSE2]
Student [id=20, name=Tracy, age=21, gender=MALE, className=CSE3]
Student [id=8, name=Henry, age=24, gender=FEMALE, className=CSE5]
Student [id=29, name=Clara, age=19, gender=MALE, className=CSE5]
Student [id=38, name=Laura, age=23, gender=MALE, className=CSE4]
Student [id=42, name=Patty, age=22, gender=FEMALE, className=CSE2]
Student [id=10, name=Jack, age=25, gender=MALE, className=CSE5]
Student [id=24, name=Xander, age=20, gender=FEMALE, className=CSE5]
Student [id=46, name=Tina, age=23, gender=MALE, className=CSE2]
Student [id=3, name=Charlie, age=25, gender=MALE, className=CSE2]
Student [id=14, name=Nina, age=22, gender=MALE, className=CSE3]
Student [id=19, name=Steve, age=25, gender=FEMALE, className=CSE3]
Student [id=36, name=Julia, age=24, gender=MALE, className=CSE3]
Student [id=28, name=Brian, age=25, gender=FEMALE, className=CSE1]
Student [id=13, name=Mona, age=21, gender=FEMALE, className=CSE4]
Student [id=43, name=Quincy, age=21, gender=MALE, className=CSE4]
Student [id=45, name=Sam, age=25, gender=FEMALE, className=CSE2]
Student [id=23, name=Wendy, age=22, gender=MALE, className=CSE4]
Student [id=18, name=Rose, age=25, gender=FEMALE, className=CSE5]
Student [id=11, name=Karen, age=19, gender=MALE, className=CSE4]
Student [id=12, name=Leo, age=22, gender=FEMALE, className=CSE3]
